"File","Number","Offset","Japanese","English","Centering","References","width","height","lineheight","English"
"bvm_decmp/m/075/before.bvmc","0x1","0xa","mitygun",,"0x0","0x1 0x7e 0x0",196,42,14,
"bvm_decmp/m/075/before.bvmc","0x2","0x12","弾工房カウンター",,"0x0","0x1 0x81 0x0",196,42,14,
"bvm_decmp/m/075/before.bvmc","0x3","0x23","カメラ１＿２",,"0x0","0x1 0x8c 0x0",196,42,14,
"bvm_decmp/m/075/before.bvmc","0x4","0x30","ネストラ＿思案中",,"0x0","0x2 0xa8 0xc2 0x0",196,42,14,
"bvm_decmp/m/075/before.bvmc","0x5","0x41","ネストラ",,"0x0","0x17 0xaf 0xc7 0xf3 0x100 0x114 0x11b 0x16c 0x189 0x190 0x197 0x1d3 0x1e1 0x2a6 0x2d3 0x2fc 0x325 0x34e 0x355 0x371 0x37e 0x3a6 0x3ad 0x449 0x0",196,42,14,
"bvm_decmp/m/075/before.bvmc","0x6","0x4a","…………。","............","0x2 0x2 0xb2 0xb7 0x2 0xca 0xcf","0x2 0xb1 0xc9 0x0",196,42,14,"..."
"bvm_decmp/m/075/before.bvmc","0x4","0x30","ネストラ＿思案中",,"0x0","0x2 0xa8 0xc2 0x0",196,42,14,
"bvm_decmp/m/075/before.bvmc","0x5","0x41","ネストラ",,"0x0","0x17 0xaf 0xc7 0xf3 0x100 0x114 0x11b 0x16c 0x189 0x190 0x197 0x1d3 0x1e1 0x2a6 0x2d3 0x2fc 0x325 0x34e 0x355 0x371 0x37e 0x3a6 0x3ad 0x449 0x0",196,42,14,
"bvm_decmp/m/075/before.bvmc","0x6","0x4a","…………。","............","0x2 0x2 0xb2 0xb7 0x2 0xca 0xcf","0x2 0xb1 0xc9 0x0",196,42,14,"…"
"bvm_decmp/m/075/before.bvmc","0x7","0x55","メリッサ＿微笑Ｌ",,"0x0","0x1 0xdb 0x0",196,42,14,
"bvm_decmp/m/075/before.bvmc","0x8","0x66","メリッサ",,"0x0","0x7 0xe0 0xe6 0x106 0x12a 0x131 0x140 0x1a6 0x0",196,42,14,
