"File","Number","Offset","Japanese","English","Centering","References","width","height","lineheight","English"
"bvm_decmp/m/038/before.bvmc","0x1","0xd","Highway01",,"0x0","0x1 0x69 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0x2","0x17","汎用ＢＧ＿０２",,"0x0","0x3 0x6e 0x2b6 0x31e 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0x3","0x26","automan",,"0x0","0x1 0x7b 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0x4","0x2e","banerobo",,"0x0","0x1 0x80 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0x5","0x37","omegac",,"0x0","0x1 0x85 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0x6","0x3e","味方１",,"0x0","0x1 0x8c 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0x7","0x45","味注１",,"0x0","0x1 0x8e 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0x8","0x4c","敵１",,"0x0","0x1 0x98 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0x9","0x51","敵注１",,"0x0","0x1 0x9a 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0xa","0x58","ルート１",,"0x0","0x1 0xb2 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0xb","0x61","カメラ１",,"0x0","0x1 0xbb 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0xc","0x6a","メリッサ＿発見",,"0x0","0x1 0xd6 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0xd","0x79","メリッサ",,"0x0","0x5 0xdd 0xf5 0xfb 0x2cc 0x331 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0xe","0x82","見てあれ！
オートマンだよ。","Look over there!
An Automan!","0x0","0x1 0xdf 0x0",196,42,14,"Look over there!
It's an Automan."
"bvm_decmp/m/038/before.bvmc","0xf","0x9f","ケイ＿戦闘中険しい",,"0x0","0x1 0xe4 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0x10","0xb2","ケイ",,"0x0","0x3 0xe9 0x37c 0x38a 0x0",196,42,14,
"bvm_decmp/m/038/before.bvmc","0x11","0xb7","こんなところに、
まだオートマンが残ってたんだ。","So there WERE some Automen still left around here.","0x0","0x1 0xeb 0x0",196,42,14,"So there were still some Automen left around here."
"bvm_decmp/m/038/before.bvmc","0x12","0xe8","メリッサ＿戦闘中真剣",,"0x0","0x1 0xf0 0x0",196,42,14,
