"File","Number","Offset","Japanese","English","Centering","References","width","height","lineheight","English"
"bvm_decmp/m/035/before.bvmc","0x1","0xa","Ruins01",,"0x0","0x1 0x6d 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x2","0x12","bigdawn",,"0x0","0x1 0x78 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x3","0x1a","yumi",,"0x0","0x1 0x7d 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x4","0x1f","swdgunk",,"0x0","0x1 0x82 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x5","0x27","開始イベント終",,"0x0","0x1 0x8a 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x6","0x36","Func0017A854",,"0x0","0x1 0x90 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x7","0x43","終了",,"0x0","0x1 0xb4 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x8","0x48","エリー機",,"0x0","0x1 0xd9 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x9","0x51","エリー機注",,"0x0","0x1 0xdb 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0xa","0x5c","ドゥーン１",,"0x0","0x1 0xe5 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0xb","0x67","ドゥーン注１",,"0x0","0x1 0xe7 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0xc","0x74","カメラ１",,"0x0","0x1 0xf3 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0xd","0x7d","コックピット",,"0x0","0x7 0xfc 0x364 0x679 0x77f 0x7e1 0x82c 0x88b 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0xe","0x8a","エリー＿操縦小さい驚き",,"0x0","0x1 0x11f 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0xf","0xa1","エリー",,"0x0","0x2 0x126 0x17f 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x10","0xa8","……まさか……この人形は……","...It can't be...That Puppet is...","0x0","0x1 0x128 0x0",196,42,14,"...It can't be...that mech is..."
"bvm_decmp/m/035/before.bvmc","0x11","0xc5","カメラ２",,"0x0","0x1 0x146 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x12","0xce","AttackH1",,"0x0","0x1 0x15c 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x13","0xd7","カメラ２＿２",,"0x0","0x1 0x163 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x14","0xe4","エリー＿操縦やられ",,"0x0","0x1 0x174 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0xf","0xa1","エリー",,"0x0","0x2 0x126 0x17f 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x15","0xf7","きゃぁぁぁぁぁぁぁ！","AAAAHHH!","0x2 0x2 0x182 0x187 0x2 0x4a0 0x4a5","0x2 0x181 0x49f 0x0",196,42,14,"Aaaaah!"
"bvm_decmp/m/035/before.bvmc","0x16","0x10c","Func0017A8F4",,"0x0","0x0 0x1 0x1a3",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x17","0x119","自機",,"0x0","0x0 0x1 0x1da",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x18","0x11e","自注",,"0x0","0x0 0x1 0x1dd",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x19","0x123","アンマリー機",,"0x0","0x0 0x1 0x1e9",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x1a","0x130","アンマリー機注",,"0x0","0x0 0x1 0x1ec",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x1b","0x13f","SHIP",,"0x0","0x0 0x1 0x1f6",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x1c","0x144","SHIP2",,"0x0","0x0 0x1 0x200",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x1d","0x14a","SNAIL",,"0x0","0x0 0x1 0x20c",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x1e","0x150","WINDMIL",,"0x0","0x0 0x1 0x218",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x1f","0x158","WINDMIL2",,"0x0","0x0 0x1 0x224",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x20","0x161","ドゥーン２",,"0x0","0x0 0x1 0x249",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x21","0x16c","ドゥーン注２",,"0x0","0x0 0x1 0x24c",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x22","0x179","ドゥーンルート２",,"0x0","0x0 0x1 0x25f",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x23","0x18a","終点",,"0x0","0x0 0x7 0x262 0x313 0x3e9 0x4d5 0x5f4 0x65a 0x86a",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x24","0x18f","カメラ３＿１",,"0x0","0x0 0x1 0x277",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x25","0x19c","カメラ３＿２",,"0x0","0x0 0x1 0x2a0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x26","0x1a9","KABUTO",,"0x0","0x0 0x2 0x2b3 0x560",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x27","0x1b0","KABUTO2",,"0x0","0x0 0x2 0x2bd 0x56a",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x28","0x1b8","ATLAS",,"0x0","0x0 0x2 0x2c9 0x576",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x29","0x1be","GTLGKUWA",,"0x0","0x0 0x2 0x2d5 0x582",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x2a","0x1c7","GTLGKUWA2",,"0x0","0x0 0x2 0x2e1 0x58e",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x2b","0x1d1","GTLGKUWA3",,"0x0","0x0 0x2 0x2ed 0x59a",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x2c","0x1db","カメラ４＿２",,"0x0","0x0 0x1 0x2f9",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x2d","0x1e8","カメラ４",,"0x0","0x0 0x1 0x305",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x2e","0x1f1","ドゥーンルート３",,"0x0","0x0 0x1 0x310",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x23","0x18a","終点",,"0x0","0x0 0x7 0x262 0x313 0x3e9 0x4d5 0x5f4 0x65a 0x86a",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x2f","0x202","ドゥーンパス",,"0x0","0x0 0x2 0x333 0x796",196,42,14,
"bvm_decmp/m/035/before.bvmc","0xd","0x7d","コックピット",,"0x0","0x7 0xfc 0x364 0x679 0x77f 0x7e1 0x82c 0x88b 0x0",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x30","0x20f","アンマリー＿操縦小さい驚き",,"0x0","0x0 0x1 0x36b",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x31","0x22a","アンマリー",,"0x0","0x0 0x22 0x377 0x386 0x38e 0x3d6 0x40a 0x49c 0x68c 0x694 0x6bd 0x6c5 0x6d4 0x6dc 0x6e4 0x6ec 0x6f4 0x711 0x719 0x721 0x729 0x731 0x739 0x741 0x749 0x751 0x759 0x761 0x769 0x771 0x79e 0x7f0 0x7f8 0x839 0x89a 0x8a9",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x32","0x235","大きい……。","It's huge...","0x0","0x0 0x1 0x37a",196,42,14,"It's huge..."
"bvm_decmp/m/035/before.bvmc","0x33","0x242","アンマリー＿操縦険しい",,"0x0","0x0 0x6 0x380 0x6b5 0x786 0x7e8 0x833 0x892",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x31","0x22a","アンマリー",,"0x0","0x0 0x22 0x377 0x386 0x38e 0x3d6 0x40a 0x49c 0x68c 0x694 0x6bd 0x6c5 0x6d4 0x6dc 0x6e4 0x6ec 0x6f4 0x711 0x719 0x721 0x729 0x731 0x739 0x741 0x749 0x751 0x759 0x761 0x769 0x771 0x79e 0x7f0 0x7f8 0x839 0x89a 0x8a9",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x34","0x259","……これが……人形王……。","...It's...the Puppet King...","0x0","0x0 0x1 0x389",196,42,14,"...It's...the Mech King..."
"bvm_decmp/m/035/before.bvmc","0x31","0x22a","アンマリー",,"0x0","0x0 0x22 0x377 0x386 0x38e 0x3d6 0x40a 0x49c 0x68c 0x694 0x6bd 0x6c5 0x6d4 0x6dc 0x6e4 0x6ec 0x6f4 0x711 0x719 0x721 0x729 0x731 0x739 0x741 0x749 0x751 0x759 0x761 0x769 0x771 0x79e 0x7f0 0x7f8 0x839 0x89a 0x8a9",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x35","0x274","オートマンを率いる人形の王。","The one that's been leading the other Automen.","0x0","0x0 0x1 0x391",196,42,14,"The one that's been leading the other Automen."
"bvm_decmp/m/035/before.bvmc","0x36","0x291","ドゥーン３",,"0x0","0x0 0x1 0x3a7",196,42,14,
"bvm_decmp/m/035/before.bvmc","0x37","0x29c","ドゥーン注３",,"0x0","0x0 0x1 0x3aa",196,42,14,
