"File","Number","Offset","Japanese","English","Centering","References","width","height","lineheight","English"
"bvm_decmp/m/001/before3.bvmc","0x1","0x8","町並みｊａｐａｎ０２＿３",,"0x0","0x1 0x6b 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0x2","0x21","bkfire",,"0x0","0x1 0x73 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0x3","0x28","自分１",,"0x0","0x1 0x79 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0x4","0x2f","自注１",,"0x0","0x1 0x7b 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0x5","0x36","automan",,"0x0","0x1 0x83 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0x6","0x3e","敵１",,"0x0","0x1 0x85 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0x7","0x43","敵注１",,"0x0","0x1 0x87 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0x8","0x4a","カメラ０",,"0x0","0x1 0x8e 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0x9","0x53","ルート１",,"0x0","0x1 0xa0 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0xa","0x5c","終点",,"0x0","0x1 0xa2 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0xb","0x61","市民２＿あわてるＬ",,"0x0","0x1 0xd2 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0xc","0x74","市民２",,"0x0","0x1 0xd9 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0xd","0x7b","おい！　見ろ！","Hey, look!","0x0","0x1 0xdb 0x0",196,42,14,"Hey, look!"
"bvm_decmp/m/001/before3.bvmc","0xe","0x8a","カメラ１",,"0x0","0x1 0xed 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0xf","0x93","市民１＿あわてる",,"0x0","0x1 0xf8 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0x10","0xa4","市民１",,"0x0","0x1 0xff 0x0",196,42,14,
"bvm_decmp/m/001/before3.bvmc","0x11","0xab","こっちへ来るぞ！
逃げろ！","It's headed this way!
RUN FOR IT!","0x0","0x1 0x101 0x0",196,42,14,"It's headed this way!
Run for it!"
